asin,forecast_creation_date,target_week,model_name,demand,p50_fcst,p60_fcst,p80_fcst,p90_fcst
ZSY8638098,11/20/2016,1/8/2017,Model B,13,18.95,24.31,40.28,55.7
ZSY8638098,11/20/2016,1/15/2017,Model A,17,3.55,4.58,7.53,10.3
ZSY8638098,11/20/2016,1/15/2017,Model B,17,18.4,23.68,39.44,54.69
ZSY8638098,11/20/2016,1/22/2017,Model A,25,3.78,4.88,8.05,11.02
ZSY8638098,11/20/2016,1/22/2017,Model B,25,18.37,23.84,40.3,56.34
VTG8576318,11/20/2016,11/20/2016,Model A,366,479.71,569.93,821.12,1049.37
VTG8576318,11/20/2016,11/20/2016,Model B,366,711.81,774.27,933.05,1064.75
VTG8576318,11/20/2016,11/27/2016,Model A,581,629.5,762.33,1139.5,1488.51
VTG8576318,11/20/2016,11/27/2016,Model B,581,844.63,933.78,1164.29,1358.95
VTG8576318,11/20/2016,12/4/2016,Model A,423,621.2,774.83,1224.43,1651.81
VTG8576318,11/20/2016,12/4/2016,Model B,423,888.78,989.97,1253.63,1478.09
VTG8576318,11/20/2016,12/11/2016,Model A,543,657.39,829.04,1336.99,1824.62
VTG8576318,11/20/2016,12/11/2016,Model B,543,847.73,951.77,1225.13,1459.82
VTG8576318,11/20/2016,12/18/2016,Model A,294,392.58,498.69,814.97,1120.48
VTG8576318,11/20/2016,12/18/2016,Model B,294,762.66,862.16,1125.44,1353.11
VTG8576318,11/20/2016,12/25/2016,Model A,346,338.19,424.75,679.78,923.66
VTG8576318,11/20/2016,12/25/2016,Model B,346,644.15,730.13,958.26,1156.08
VTG8576318,11/20/2016,1/1/2017,Model A,563,393.51,490.33,773.31,1042.01
VTG8576318,11/20/2016,1/1/2017,Model B,563,557.54,623.38,795.64,942.87
VTG8576318,11/20/2016,1/8/2017,Model A,643,401.15,495.4,768.36,1025.49
VTG8576318,11/20/2016,1/8/2017,Model B,643,552.15,613,771.01,905.04
VTG8576318,11/20/2016,1/15/2017,Model A,476,411.68,513.27,810.35,1092.6
VTG8576318,11/20/2016,1/15/2017,Model B,476,573.57,631.37,780.15,905.19
VTG8576318,11/20/2016,1/22/2017,Model A,434,399.04,500.6,799.49,1085.03
VTG8576318,11/20/2016,1/22/2017,Model B,434,586.08,645.27,797.66,925.75
ENL9024251,11/20/2016,11/20/2016,Model A,301,235.01,270.36,365.56,449.34
ENL9024251,11/20/2016,11/20/2016,Model B,301,237.93,263.6,330.09,386.35
ENL9024251,11/20/2016,11/27/2016,Model A,502,379.4,439.56,602.79,747.5
ENL9024251,11/20/2016,11/27/2016,Model B,502,379.37,427.34,553.8,662.72
ENL9024251,11/20/2016,12/4/2016,Model A,561,367.91,438.52,635.75,815.51
ENL9024251,11/20/2016,12/4/2016,Model B,561,453.87,515.59,679.72,822.36
ENL9024251,11/20/2016,12/11/2016,Model A,666,492.55,593.73,879.65,1143.05
ENL9024251,11/20/2016,12/11/2016,Model B,666,459.23,526.53,707.22,865.75
ENL9024251,11/20/2016,12/18/2016,Model A,385,326.59,397.08,597.99,784.53
ENL9024251,11/20/2016,12/18/2016,Model B,385,392.12,456.82,633.4,790.81
ENL9024251,11/20/2016,12/25/2016,Model A,176,170.97,208.14,314.19,412.73
ENL9024251,11/20/2016,12/25/2016,Model B,176,269.77,321.93,467.77,600.83
ENL9024251,11/20/2016,1/1/2017,Model A,196,187.25,225.13,331.81,429.8
ENL9024251,11/20/2016,1/1/2017,Model B,196,169.81,201.53,289.7,369.7
ENL9024251,11/20/2016,1/8/2017,Model A,202,144.56,171,244.25,310.49
ENL9024251,11/20/2016,1/8/2017,Model B,202,142.81,167.82,236.64,298.47
ENL9024251,11/20/2016,1/15/2017,Model A,169,138.99,161.05,220.86,273.87
ENL9024251,11/20/2016,1/15/2017,Model B,169,145.35,164.03,213.36,255.91
ENL9024251,11/20/2016,1/22/2017,Model A,155,129.54,148.88,200.87,246.56
ENL9024251,11/20/2016,1/22/2017,Model B,155,143.17,160.18,204.68,242.71
FNR3596763,11/20/2016,11/20/2016,Model A,122,70.11,82.05,114.72,143.94
FNR3596763,11/20/2016,11/20/2016,Model B,122,67.34,73.92,90.79,104.91
FNR3596763,11/20/2016,11/27/2016,Model A,167,109.46,133.34,201.43,264.71
FNR3596763,11/20/2016,11/27/2016,Model B,167,90.65,100.09,124.46,144.99
FNR3596763,11/20/2016,12/4/2016,Model A,176,109.74,137.98,221.17,300.71
FNR3596763,11/20/2016,12/4/2016,Model B,176,102.95,114.64,145.08,170.95
FNR3596763,11/20/2016,12/11/2016,Model A,197,129.14,157.6,238.96,314.7
FNR3596763,11/20/2016,12/11/2016,Model B,197,104.1,116.76,149.94,178.37
FNR3596763,11/20/2016,12/18/2016,Model A,157,79.11,97.29,149.63,198.67
FNR3596763,11/20/2016,12/18/2016,Model B,157,93.88,105.56,136.29,162.68
FNR3596763,11/20/2016,12/25/2016,Model A,70,55.47,68.56,106.41,141.99
FNR3596763,11/20/2016,12/25/2016,Model B,70,74.31,84.32,110.87,133.89
FNR3596763,11/20/2016,1/1/2017,Model A,123,62.75,76.66,116.41,153.4
FNR3596763,11/20/2016,1/1/2017,Model B,123,59.4,66.59,85.42,101.52
FNR3596763,11/20/2016,1/8/2017,Model A,116,53.72,67.17,106.49,143.84
FNR3596763,11/20/2016,1/8/2017,Model B,116,58.07,64.73,82.08,96.84
FNR3596763,11/20/2016,1/15/2017,Model A,97,49.98,62.65,99.79,135.15
FNR3596763,11/20/2016,1/15/2017,Model B,97,62.32,68.33,83.71,96.57
FNR3596763,11/20/2016,1/22/2017,Model A,57,50.3,62.91,99.81,134.86
FNR3596763,11/20/2016,1/22/2017,Model B,57,62.28,68.64,84.99,98.73
YTO7949635,11/20/2016,11/20/2016,Model A,5,878.83,1030.74,1448.23,1822.94
YTO7949635,11/20/2016,11/20/2016,Model B,5,1050.47,1146,1389.6,1592.32
YTO7949635,11/20/2016,11/27/2016,Model A,2,1031.42,1237.52,1817.28,2349.14
YTO7949635,11/20/2016,11/27/2016,Model B,2,1255.45,1390.27,1739.5,2034.95
YTO7949635,11/20/2016,12/4/2016,Model A,1,1039.52,1296.5,2048.53,2763.44
YTO7949635,11/20/2016,12/4/2016,Model B,1,1343.19,1498.77,1904.94,2251.4
YTO7949635,11/20/2016,12/11/2016,Model A,1,1091.56,1368.08,2181.35,2957.88
YTO7949635,11/20/2016,12/11/2016,Model B,1,1316.89,1482.89,1920.39,2297.2
YTO7949635,11/20/2016,12/18/2016,Model A,14,623.13,792.97,1300.23,1791.07
YTO7949635,11/20/2016,12/18/2016,Model B,14,1230.42,1395.31,1833.06,2212.86
YTO7949635,11/20/2016,12/25/2016,Model A,0,535.95,676.73,1093.83,1494.65
YTO7949635,11/20/2016,12/25/2016,Model B,0,1103.34,1255.42,1660.58,2013.32
YTO7949635,11/20/2016,1/1/2017,Model A,0,607.58,759.74,1206.14,1631.45
YTO7949635,11/20/2016,1/1/2017,Model B,0,1013.99,1143.15,1483.96,1777.84
YTO7949635,11/20/2016,1/8/2017,Model A,1,603.52,752.77,1189.55,1604.74
YTO7949635,11/20/2016,1/8/2017,Model B,1,1019.35,1141.43,1461.32,1735.2
YTO7949635,11/20/2016,1/15/2017,Model A,0,604.56,747.07,1160.13,1549.51
YTO7949635,11/20/2016,1/15/2017,Model B,0,1040.27,1158.22,1465.46,1726.9
YTO7949635,11/20/2016,1/22/2017,Model A,0,596.34,744.53,1178.6,1591.58
YTO7949635,11/20/2016,1/22/2017,Model B,0,1033.13,1149.31,1451.67,1708.73
UAC5326984,11/20/2016,11/20/2016,Model A,2027,294.2,332.53,433.91,521.55
UAC5326984,11/20/2016,11/20/2016,Model B,2027,243.53,262.88,311.68,351.8
UAC5326984,11/20/2016,11/27/2016,Model A,238,445.89,523.35,736.35,927.62
UAC5326984,11/20/2016,11/27/2016,Model B,238,363.16,400.03,495,574.86
UAC5326984,11/20/2016,12/4/2016,Model A,477,417.88,492.16,697.15,881.86
UAC5326984,11/20/2016,12/4/2016,Model B,477,420.88,468.02,590.65,694.84
UAC5326984,11/20/2016,12/11/2016,Model A,379,501.97,606.98,904.71,1179.8
UAC5326984,11/20/2016,12/11/2016,Model B,379,414.11,465.06,598.97,713.96
UAC5326984,11/20/2016,12/18/2016,Model A,66,318.87,387.28,582.07,762.74
UAC5326984,11/20/2016,12/18/2016,Model B,66,343.72,390.49,514.85,622.92
UAC5326984,11/20/2016,12/25/2016,Model A,0,168.36,202.63,299.28,388.14
UAC5326984,11/20/2016,12/25/2016,Model B,0,226.91,260.12,349.26,427.42
UAC5326984,11/20/2016,1/1/2017,Model A,16,183.67,218.76,316.66,405.79
UAC5326984,11/20/2016,1/1/2017,Model B,16,136.05,150.15,186.52,217.15
UAC5326984,11/20/2016,1/8/2017,Model A,55,141.45,168.08,242.19,309.5
UAC5326984,11/20/2016,1/8/2017,Model B,55,121.25,128.4,146.06,160.26
UAC5326984,11/20/2016,1/15/2017,Model A,169,134.57,155.28,211.22,260.57
UAC5326984,11/20/2016,1/15/2017,Model B,169,135.44,137.76,143.23,147.41
UAC5326984,11/20/2016,1/22/2017,Model A,157,131.19,152.6,210.91,262.77
UAC5326984,11/20/2016,1/22/2017,Model B,157,139.73,143.95,154.08,161.96
RAV3637539,11/20/2016,11/20/2016,Model A,178,166.38,197.63,284.56,363.5
RAV3637539,11/20/2016,11/20/2016,Model B,178,166.8,183.86,227.82,264.8
RAV3637539,11/20/2016,11/27/2016,Model A,168,261.05,310.73,449.3,575.4
RAV3637539,11/20/2016,11/27/2016,Model B,168,263.85,295.04,376.65,446.4
RAV3637539,11/20/2016,12/4/2016,Model A,273,270.16,336.85,531.85,717.09
RAV3637539,11/20/2016,12/4/2016,Model B,273,308.29,347.78,452.04,541.97
RAV3637539,11/20/2016,12/11/2016,Model A,260,329.63,420.53,692.65,956.46
RAV3637539,11/20/2016,12/11/2016,Model B,260,298.95,339.82,448.57,543.12
RAV3637539,11/20/2016,12/18/2016,Model A,216,206.73,261.26,422.85,578.16
RAV3637539,11/20/2016,12/18/2016,Model B,216,240.92,278.67,380.93,471.43
RAV3637539,11/20/2016,12/25/2016,Model A,137,91.22,112.54,174.12,231.99
RAV3637539,11/20/2016,12/25/2016,Model B,137,155.91,184.44,263.49,334.97
RAV3637539,11/20/2016,1/1/2017,Model A,186,84.07,104.41,163.54,219.43
RAV3637539,11/20/2016,1/1/2017,Model B,186,90.34,106.11,149.47,188.39
RAV3637539,11/20/2016,1/8/2017,Model A,153,56.15,68.88,105.4,139.51
RAV3637539,11/20/2016,1/8/2017,Model B,153,73.2,84.38,114.51,141.05
RAV3637539,11/20/2016,1/15/2017,Model A,100,53.31,65.96,102.53,136.94
RAV3637539,11/20/2016,1/15/2017,Model B,100,76.49,83.66,101.98,117.25
RAV3637539,11/20/2016,1/22/2017,Model A,75,50.32,62.33,97.09,129.83
RAV3637539,11/20/2016,1/22/2017,Model B,75,77.82,84.2,100.31,113.58
JMN8369211,11/20/2016,11/20/2016,Model A,1,9.83,13.05,22.85,32.51
JMN8369211,11/20/2016,11/20/2016,Model B,1,13.45,19.96,42.23,66.23
JMN8369211,11/20/2016,11/27/2016,Model A,1,11.85,16.2,29.88,43.71
JMN8369211,11/20/2016,11/27/2016,Model B,1,29.21,39.42,71.53,103.96
JMN8369211,11/20/2016,12/4/2016,Model A,4,11.71,16.5,32.01,48.05
JMN8369211,11/20/2016,12/4/2016,Model B,4,33.3,44.98,81.81,119.06
JMN8369211,11/20/2016,12/11/2016,Model A,9,13.56,19.2,37.63,56.81
JMN8369211,11/20/2016,12/11/2016,Model B,9,26.39,36.47,68.93,102.32
JMN8369211,11/20/2016,12/18/2016,Model A,14,8.46,11.97,23.3,34.98
JMN8369211,11/20/2016,12/18/2016,Model B,14,19.42,28.53,59.59,93.01
JMN8369211,11/20/2016,12/25/2016,Model A,10,7.72,10.81,20.65,30.69
JMN8369211,11/20/2016,12/25/2016,Model B,10,19.68,28.31,57.13,87.63
JMN8369211,11/20/2016,1/1/2017,Model A,2,9.96,13.56,24.8,36.08
JMN8369211,11/20/2016,1/1/2017,Model B,2,23.13,31.9,59.99,88.81
JMN8369211,11/20/2016,1/8/2017,Model A,1,9.39,12.74,23.17,33.6
JMN8369211,11/20/2016,1/8/2017,Model B,1,20.36,28.48,54.87,82.21
JMN8369211,11/20/2016,1/15/2017,Model A,1,8.85,12.25,22.98,33.86
JMN8369211,11/20/2016,1/15/2017,Model B,1,17.85,25.25,49.49,74.79
JMN8369211,11/20/2016,1/22/2017,Model A,2,9.27,12.9,24.48,36.28
JMN8369211,11/20/2016,1/22/2017,Model B,2,14.72,21.22,42.84,65.68
SZQ4790662,11/20/2016,11/20/2016,Model A,205,215.29,263.17,400.35,528.32
SZQ4790662,11/20/2016,11/20/2016,Model B,205,212.01,231.77,282.23,324.3
SZQ4790662,11/20/2016,11/27/2016,Model A,195,273.1,334.47,510.69,675.4
SZQ4790662,11/20/2016,11/27/2016,Model B,195,263.71,292.61,367.58,431.13
SZQ4790662,11/20/2016,12/4/2016,Model A,173,293.75,369.97,595.14,810.97
SZQ4790662,11/20/2016,12/4/2016,Model B,173,282.41,316.32,405.15,481.21
SZQ4790662,11/20/2016,12/11/2016,Model A,174,298.55,377.37,611.07,835.8
SZQ4790662,11/20/2016,12/11/2016,Model B,174,267.34,301.74,392.59,471.01
SZQ4790662,11/20/2016,12/18/2016,Model A,102,187.49,238.9,392.51,541.21
SZQ4790662,11/20/2016,12/18/2016,Model B,102,229.5,261.01,344.86,417.8
SZQ4790662,11/20/2016,12/25/2016,Model A,92,150.91,189.49,303.02,411.49
SZQ4790662,11/20/2016,12/25/2016,Model B,92,177.99,203.16,270.41,329.12
SZQ4790662,11/20/2016,1/1/2017,Model A,84,178.16,223.6,357.31,485.03
SZQ4790662,11/20/2016,1/1/2017,Model B,84,145.46,162.41,206.69,244.46
SZQ4790662,11/20/2016,1/8/2017,Model A,91,181.95,227.2,359.66,485.62
SZQ4790662,11/20/2016,1/8/2017,Model B,91,150.88,164.84,200.5,230.2
SZQ4790662,11/20/2016,1/15/2017,Model A,78,169.5,211.43,334.05,450.54
SZQ4790662,11/20/2016,1/15/2017,Model B,78,170.08,183.36,216.79,244.23
SZQ4790662,11/20/2016,1/22/2017,Model A,56,168.01,208.28,325.29,435.83
SZQ4790662,11/20/2016,1/22/2017,Model B,56,177.56,193.38,233.63,267.05
CIM6677891,11/20/2016,11/20/2016,Model A,1,4.65,6.68,13.2,19.88
CIM6677891,11/20/2016,11/20/2016,Model B,1,26.32,37.36,73.84,112.16
CIM6677891,11/20/2016,11/27/2016,Model A,0,4.7,6.62,12.63,18.7
CIM6677891,11/20/2016,11/27/2016,Model B,0,60.7,79.16,135.51,191.03
CIM6677891,11/20/2016,12/4/2016,Model A,0,4.08,5.83,11.35,16.95
CIM6677891,11/20/2016,12/4/2016,Model B,0,67.42,88.76,154.54,219.89
CIM6677891,11/20/2016,12/11/2016,Model A,0,5.44,8.25,17.72,27.84
CIM6677891,11/20/2016,12/11/2016,Model B,0,47.93,65.1,119.63,175.15
CIM6677891,11/20/2016,12/18/2016,Model A,2,3.28,4.97,10.54,16.36
CIM6677891,11/20/2016,12/18/2016,Model B,2,26.21,40.49,91.96,149.62
CIM6677891,11/20/2016,12/25/2016,Model A,0,2.29,3.45,7.12,10.86
CIM6677891,11/20/2016,12/25/2016,Model B,0,26.11,39.39,86.13,137.58
CIM6677891,11/20/2016,1/1/2017,Model A,0,2.15,3.08,5.9,8.67
CIM6677891,11/20/2016,1/1/2017,Model B,0,34.44,48.21,93.21,140.06
CIM6677891,11/20/2016,1/8/2017,Model A,0,2.12,3.19,6.53,9.92
CIM6677891,11/20/2016,1/8/2017,Model B,0,28.07,40.31,81.28,124.73
CIM6677891,11/20/2016,1/15/2017,Model A,0,2.07,3.05,6.09,9.13
CIM6677891,11/20/2016,1/15/2017,Model B,0,20.83,31.11,66.76,105.6
CIM6677891,11/20/2016,1/22/2017,Model A,0,1.96,2.91,5.86,8.81
CIM6677891,11/20/2016,1/22/2017,Model B,0,15.18,23.44,52.91,85.7
MYZ6520428,11/20/2016,11/20/2016,Model A,61,60.14,72.12,105.69,136.39
MYZ6520428,11/20/2016,11/20/2016,Model B,61,40.79,46.67,62.36,76.06
MYZ6520428,11/20/2016,11/27/2016,Model A,40,64.5,78.95,120.32,158.89
MYZ6520428,11/20/2016,11/27/2016,Model B,40,60.56,69.42,93.18,113.98
MYZ6520428,11/20/2016,12/4/2016,Model A,53,47.64,59.98,96.29,130.96
MYZ6520428,11/20/2016,12/4/2016,Model B,53,62.13,71.9,98.35,121.73
MYZ6520428,11/20/2016,12/11/2016,Model A,39,37.21,50.88,94.56,139.21
MYZ6520428,11/20/2016,12/11/2016,Model B,39,43.12,50.6,71.12,89.49
MYZ6520428,11/20/2016,12/18/2016,Model A,51,22.02,31.52,63.11,96.46
MYZ6520428,11/20/2016,12/18/2016,Model B,51,20.49,26.01,42.27,57.84
MYZ6520428,11/20/2016,12/25/2016,Model A,29,14.45,20.12,38.32,57.03
MYZ6520428,11/20/2016,12/25/2016,Model B,29,11.87,14.84,23.4,31.44
MYZ6520428,11/20/2016,1/1/2017,Model A,18,12.93,17.15,30.05,42.79
MYZ6520428,11/20/2016,1/1/2017,Model B,18,12.35,14.54,20.52,25.85
MYZ6520428,11/20/2016,1/8/2017,Model A,7,9.57,12.58,21.68,30.55
MYZ6520428,11/20/2016,1/8/2017,Model B,7,11.75,13.56,18.39,22.62
MYZ6520428,11/20/2016,1/15/2017,Model A,8,9.14,12.05,20.84,29.43
MYZ6520428,11/20/2016,1/15/2017,Model B,8,10.23,11.96,16.63,20.76
MYZ6520428,11/20/2016,1/22/2017,Model A,6,9.03,12.18,21.91,31.59
MYZ6520428,11/20/2016,1/22/2017,Model B,6,9.36,10.89,14.99,18.59
TEA3895767,11/20/2016,11/20/2016,Model A,3,1039.58,1213.22,1688.02,2112.1
TEA3895767,11/20/2016,11/20/2016,Model B,3,1231.95,1326.68,1564.98,1760.4
TEA3895767,11/20/2016,11/27/2016,Model A,3,1243.81,1491.56,2188.16,2826.89
TEA3895767,11/20/2016,11/27/2016,Model B,3,1474.82,1611.57,1960.89,2252.12
TEA3895767,11/20/2016,12/4/2016,Model A,3,1431.02,1749.06,2660.81,3511.84
TEA3895767,11/20/2016,12/4/2016,Model B,3,1588.03,1746.86,2155.42,2498.56
TEA3895767,11/20/2016,12/11/2016,Model A,485,1631.94,2000.96,3062.35,4055.95
TEA3895767,11/20/2016,12/11/2016,Model B,485,1574.7,1748.62,2200.42,2583.8
TEA3895767,11/20/2016,12/18/2016,Model A,389,969.98,1215.36,1936.81,2625.48
TEA3895767,11/20/2016,12/18/2016,Model B,389,1477.88,1649.08,2096.06,2477.33
TEA3895767,11/20/2016,12/25/2016,Model A,765,761.71,953.68,1517.62,2055.54
TEA3895767,11/20/2016,12/25/2016,Model B,765,1302.67,1453.79,1848.4,2185.04
TEA3895767,11/20/2016,1/1/2017,Model A,1116,840.36,1039.4,1616.91,2161.8
TEA3895767,11/20/2016,1/1/2017,Model B,1116,1154.88,1274.03,1581.42,1840.4
TEA3895767,11/20/2016,1/8/2017,Model A,697,841.26,1037.06,1603.28,2135.9
TEA3895767,11/20/2016,1/8/2017,Model B,697,1128.5,1236.92,1514.75,1747.17
TEA3895767,11/20/2016,1/15/2017,Model A,289,863.98,1057.34,1612.37,2131
TEA3895767,11/20/2016,1/15/2017,Model B,289,1134.03,1234.75,1491.07,1703.91
TEA3895767,11/20/2016,1/22/2017,Model A,353,855.67,1058.21,1645.83,2200.19
TEA3895767,11/20/2016,1/22/2017,Model B,353,1137.09,1239.56,1500.64,1717.73
DJQ7805474,11/20/2016,11/20/2016,Model A,81,47.48,55.49,77.37,96.88
DJQ7805474,11/20/2016,11/20/2016,Model B,81,32.8,37.47,49.92,60.77
DJQ7805474,11/20/2016,11/27/2016,Model A,117,66.13,77.66,109.33,137.73
DJQ7805474,11/20/2016,11/27/2016,Model B,117,40.82,45.85,59.03,70.33
DJQ7805474,11/20/2016,12/4/2016,Model A,116,76.45,90.7,130.24,166.05
DJQ7805474,11/20/2016,12/4/2016,Model B,116,43.46,49.06,63.82,76.53
DJQ7805474,11/20/2016,12/11/2016,Model A,200,84.66,105.76,167.46,226.08
DJQ7805474,11/20/2016,12/11/2016,Model B,200,40.42,46.01,60.87,73.78
DJQ7805474,11/20/2016,12/18/2016,Model A,126,59.54,75.39,122.34,167.44
DJQ7805474,11/20/2016,12/18/2016,Model B,126,34.53,39.32,52.03,63.08
DJQ7805474,11/20/2016,12/25/2016,Model A,110,33.93,41.94,65.03,86.69
DJQ7805474,11/20/2016,12/25/2016,Model B,110,29.61,33.59,44.14,53.26
DJQ7805474,11/20/2016,1/1/2017,Model A,117,38.6,47.13,71.46,94.05
DJQ7805474,11/20/2016,1/1/2017,Model B,117,26.82,30.38,39.81,47.94
DJQ7805474,11/20/2016,1/8/2017,Model A,108,33.33,40.81,62.19,82.09
DJQ7805474,11/20/2016,1/8/2017,Model B,108,25.66,29.22,38.67,46.86
DJQ7805474,11/20/2016,1/15/2017,Model A,125,32.21,39.7,61.24,81.4
DJQ7805474,11/20/2016,1/15/2017,Model B,125,25.58,29.09,38.38,46.42
DJQ7805474,11/20/2016,1/22/2017,Model A,103,32.3,39.49,60,79.05
DJQ7805474,11/20/2016,1/22/2017,Model B,103,24.72,28,36.66,44.13
EFK2627150,11/20/2016,11/20/2016,Model A,270,163.95,196.34,287.21,370.36
EFK2627150,11/20/2016,11/20/2016,Model B,270,156.2,170.73,207.84,238.78
EFK2627150,11/20/2016,11/27/2016,Model A,423,214.36,261.87,397.9,524.73
EFK2627150,11/20/2016,11/27/2016,Model B,423,187.75,207.51,258.55,301.62
EFK2627150,11/20/2016,12/4/2016,Model A,433,181.42,230.77,377.97,520.25
EFK2627150,11/20/2016,12/4/2016,Model B,433,196.76,220.1,281.16,333.35
EFK2627150,11/20/2016,12/11/2016,Model A,365,177.69,219.03,338.47,450.73
EFK2627150,11/20/2016,12/11/2016,Model B,365,182.64,205.43,265.38,316.93
EFK2627150,11/20/2016,12/18/2016,Model A,182,118.53,147.45,231.71,311.52
EFK2627150,11/20/2016,12/18/2016,Model B,182,161.49,182.26,237.08,284.38
EFK2627150,11/20/2016,12/25/2016,Model A,16,125.88,156.09,243.82,326.69
EFK2627150,11/20/2016,12/25/2016,Model B,16,143.85,162.53,211.89,254.51
EFK2627150,11/20/2016,1/1/2017,Model A,71,180.53,222.38,343.2,456.7
EFK2627150,11/20/2016,1/1/2017,Model B,71,141.63,157.96,200.52,236.79
EFK2627150,11/20/2016,1/8/2017,Model A,12,213.97,259.78,390.13,510.98
EFK2627150,11/20/2016,1/8/2017,Model B,12,158.34,174,214.23,247.97
EFK2627150,11/20/2016,1/15/2017,Model A,0,226.05,274.24,411.29,538.26
EFK2627150,11/20/2016,1/15/2017,Model B,0,179.99,196.8,239.74,275.55
EFK2627150,11/20/2016,1/22/2017,Model A,0,230.39,279.68,419.94,549.96
EFK2627150,11/20/2016,1/22/2017,Model B,0,187.58,206.92,256.79,298.78
RGF3505291,11/20/2016,11/20/2016,Model A,0,151.62,173.66,232.74,284.49
RGF3505291,11/20/2016,11/20/2016,Model B,0,151.53,165.64,201.68,231.71
RGF3505291,11/20/2016,11/27/2016,Model A,155,238.52,280.33,395.43,498.9
RGF3505291,11/20/2016,11/27/2016,Model B,155,237.5,263.6,331.35,388.78
RGF3505291,11/20/2016,12/4/2016,Model A,198,241.06,284.56,404.85,513.45
RGF3505291,11/20/2016,12/4/2016,Model B,198,280.31,314.04,402.42,478.11
RGF3505291,11/20/2016,12/11/2016,Model A,308,284.7,336.3,479.1,608.11
RGF3505291,11/20/2016,12/11/2016,Model B,308,278.22,314.34,409.83,492.33
RGF3505291,11/20/2016,12/18/2016,Model A,24,176.18,209.54,302.46,386.93
RGF3505291,11/20/2016,12/18/2016,Model B,24,232.09,265.62,355.47,434.13
RGF3505291,11/20/2016,12/25/2016,Model A,32,93.4,110.27,156.87,198.9
RGF3505291,11/20/2016,12/25/2016,Model B,32,156.26,181.81,251.4,313.33
RGF3505291,11/20/2016,1/1/2017,Model A,103,100.07,117.12,163.83,205.62
RGF3505291,11/20/2016,1/1/2017,Model B,103,95.46,109.46,147.01,179.92
RGF3505291,11/20/2016,1/8/2017,Model A,87,74.77,89.68,131.53,169.84
RGF3505291,11/20/2016,1/8/2017,Model B,87,80.69,90.92,117.85,141.03
RGF3505291,11/20/2016,1/15/2017,Model A,71,71.19,85.03,123.69,158.93
RGF3505291,11/20/2016,1/15/2017,Model B,71,86.02,92.83,109.98,124.06
RGF3505291,11/20/2016,1/22/2017,Model A,87,69.01,83.18,123.15,159.89
RGF3505291,11/20/2016,1/22/2017,Model B,87,87.97,94.75,111.79,125.75
KWP7888071,11/20/2016,11/20/2016,Model A,28,38.04,46.22,69.43,90.88
KWP7888071,11/20/2016,11/20/2016,Model B,28,28.42,32.49,43.36,52.83
KWP7888071,11/20/2016,11/27/2016,Model A,34,46.22,57.59,90.69,122.02
KWP7888071,11/20/2016,11/27/2016,Model B,34,33.27,38.68,53.37,66.38
KWP7888071,11/20/2016,12/4/2016,Model A,45,45.78,57.67,92.69,126.14
KWP7888071,11/20/2016,12/4/2016,Model B,45,33.66,39.33,54.78,68.54
KWP7888071,11/20/2016,12/11/2016,Model A,51,47.64,63.11,111,158.77
KWP7888071,11/20/2016,12/11/2016,Model B,51,28.31,33.39,47.36,59.9
KWP7888071,11/20/2016,12/18/2016,Model A,49,28.13,37.51,66.64,95.77
KWP7888071,11/20/2016,12/18/2016,Model B,49,23.02,27.39,39.49,50.44
KWP7888071,11/20/2016,12/25/2016,Model A,42,26.48,33.79,55.5,76.42
KWP7888071,11/20/2016,12/25/2016,Model B,42,20.42,24.12,34.29,43.42
KWP7888071,11/20/2016,1/1/2017,Model A,33,30.37,38.58,62.87,86.21
KWP7888071,11/20/2016,1/1/2017,Model B,33,20.57,24.04,33.48,41.86
KWP7888071,11/20/2016,1/8/2017,Model A,50,27.64,35.64,59.64,82.97
KWP7888071,11/20/2016,1/8/2017,Model B,50,21.02,24.49,33.9,42.24
KWP7888071,11/20/2016,1/15/2017,Model A,32,27.67,35.43,58.59,80.97
KWP7888071,11/20/2016,1/15/2017,Model B,32,21.3,24.81,34.33,42.77
KWP7888071,11/20/2016,1/22/2017,Model A,30,27.86,35.66,58.94,81.44
KWP7888071,11/20/2016,1/22/2017,Model B,30,21.49,25.17,35.21,44.16
OAM4855963,11/20/2016,11/20/2016,Model A,119,104.29,122.72,173.44,219.06
OAM4855963,11/20/2016,11/20/2016,Model B,119,121.14,138.6,185.34,226.22
OAM4855963,11/20/2016,11/27/2016,Model A,120,161.25,197.54,301.72,399.09
OAM4855963,11/20/2016,11/27/2016,Model B,120,206.89,237.93,321.49,395.01
OAM4855963,11/20/2016,12/4/2016,Model A,165,157.03,194.12,301.6,402.87
OAM4855963,11/20/2016,12/4/2016,Model B,165,243.53,282.3,387.53,480.85
OAM4855963,11/20/2016,12/11/2016,Model A,193,205.47,254.34,396.14,529.94
OAM4855963,11/20/2016,12/11/2016,Model B,193,231.18,269.62,374.64,468.33
OAM4855963,11/20/2016,12/18/2016,Model A,249,113.23,144.29,237,326.7
OAM4855963,11/20/2016,12/18/2016,Model B,249,182.49,218.36,318.91,410.84
OAM4855963,11/20/2016,12/25/2016,Model A,103,63.38,79.06,124.81,168.19
OAM4855963,11/20/2016,12/25/2016,Model B,103,122.2,151.2,235.26,314.51
OAM4855963,11/20/2016,1/1/2017,Model A,72,67.53,85.75,139.87,192.02
OAM4855963,11/20/2016,1/1/2017,Model B,72,78.14,97.66,154.77,209.04
